"Country","Mountain_range","Locality","Plot","Subplot","Date","Day","Month","Year","Radiation","Phos_P","Glu_P","SOC_P","NT_P","PT_P","K_P","pH_P","Cond_P","Phos_B","Glu_B","SOC_B","NT_B","PT_B","K_B","pH_B","Cond_B","Phos_T","Glu_T","SOC_T","NT_T","PT_T","K_T","pH_T","Cond_T"
"Spain","Sierra de Guadarrama","Asomate-Hoyos","1","1",2010-07-21,21,7,2010,0.80884637,4.437515102,2.5058511485,6.3155541195,4.0702386135,0.456500987,0.008649166,4.925,31.284,2.888395811,1.691184551,3.762122479,3.297688536,0.445069358,0.002516518,5.402,22.198,3.593445971,2.203418307,5.736880847,3.95887088,0.487188548,0.005985587,5.214310121,27.60922355
"Spain","Sierra de Guadarrama","Asomate-Hoyos","1","2",2010-07-21,21,7,2010,0.80884637,4.437515102,2.5058511485,6.3155541195,4.0702386135,0.456500987,0.008649166,4.925,31.284,2.888395811,1.691184551,3.762122479,3.297688536,0.445069358,0.002516518,5.402,22.198,3.593445971,2.203418307,5.736880847,3.95887088,0.487188548,0.005985587,5.214310121,27.60922355
"Spain","Sierra de Guadarrama","Asomate-Hoyos","1","3",2010-07-21,21,7,2010,0.80884637,4.437515102,2.5058511485,6.3155541195,4.0702386135,0.456500987,0.008649166,4.925,31.284,2.888395811,1.691184551,3.762122479,3.297688536,0.445069358,0.002516518,5.402,22.198,3.593445971,2.203418307,5.736880847,3.95887088,0.487188548,0.005985587,5.214310121,27.60922355
"Spain","Sierra de Guadarrama","Asomate-Hoyos","1","4",2010-07-21,21,7,2010,0.80884637,4.437515102,2.5058511485,6.3155541195,4.0702386135,0.456500987,0.008649166,4.925,31.284,2.888395811,1.691184551,3.762122479,3.297688536,0.445069358,0.002516518,5.402,22.198,3.593445971,2.203418307,5.736880847,3.95887088,0.487188548,0.005985587,5.214310121,27.60922355
"Spain","Sierra de Guadarrama","Asomate-Hoyos","1","5",2010-07-21,21,7,2010,0.80884637,4.437515102,2.5058511485,6.3155541195,4.0702386135,0.456500987,0.008649166,4.925,31.284,2.888395811,1.691184551,3.762122479,3.297688536,0.445069358,0.002516518,5.402,22.198,3.593445971,2.203418307,5.736880847,3.95887088,0.487188548,0.005985587,5.214310121,27.60922355
"Spain","Sierra de Guadarrama","Bola del Mundo","2","1",2010-06-22,22,6,2010,0.787997088,5.1709998485,3.2345829525,5.092630151,4.5462325155,3.9230431315,0.013395058,5.232,48.02,3.102326648,1.955476161,2.993161316,3.168254428,3.168254428,0.006759548,5.76,28.7,5.60770525,3.481617275,5.288591613,4.912220419,4.885387045,0.015316761,5.505654761,48.93783162
"Spain","Sierra de Guadarrama","Bola del Mundo","2","2",2010-06-22,22,6,2010,0.787997088,5.1709998485,3.2345829525,5.092630151,4.5462325155,3.9230431315,0.013395058,5.232,48.02,3.102326648,1.955476161,2.993161316,3.168254428,3.168254428,0.006759548,5.76,28.7,5.60770525,3.481617275,5.288591613,4.912220419,4.885387045,0.015316761,5.505654761,48.93783162
"Spain","Sierra de Guadarrama","Bola del Mundo","2","3",2010-06-22,22,6,2010,0.787997088,5.1709998485,3.2345829525,5.092630151,4.5462325155,3.9230431315,0.013395058,5.232,48.02,3.102326648,1.955476161,2.993161316,3.168254428,3.168254428,0.006759548,5.76,28.7,5.60770525,3.481617275,5.288591613,4.912220419,4.885387045,0.015316761,5.505654761,48.93783162
"Spain","Sierra de Guadarrama","Bola del Mundo","2","4",2010-06-22,22,6,2010,0.787997088,5.1709998485,3.2345829525,5.092630151,4.5462325155,3.9230431315,0.013395058,5.232,48.02,3.102326648,1.955476161,2.993161316,3.168254428,3.168254428,0.006759548,5.76,28.7,5.60770525,3.481617275,5.288591613,4.912220419,4.885387045,0.015316761,5.505654761,48.93783162
"Spain","Sierra de Guadarrama","Bola del Mundo","2","5",2010-06-22,22,6,2010,0.787997088,5.1709998485,3.2345829525,5.092630151,4.5462325155,3.9230431315,0.013395058,5.232,48.02,3.102326648,1.955476161,2.993161316,3.168254428,3.168254428,0.006759548,5.76,28.7,5.60770525,3.481617275,5.288591613,4.912220419,4.885387045,0.015316761,5.505654761,48.93783162
"Spain","Sierra de Guadarrama","Bola del Mundo Oeste","3","1",2011-06-21,21,6,2011,0.645752329,4.7154180255,3.540067973,5.9512406105,3.875614643,0.711613072,0.019169095,4.87625,74.71,3.114132587,2.063751005,3.094213776,2.505985857,0.578650689,0.008337812,4.966,41.12,4.260792527,2.994116429,5.002231119,3.363917492,0.679005358,0.01562332,4.865730483,62.45966401
